,Unnamed: 0,SEXO,EDAD,CH07,CH15,NIVEL_ED,ESTADO,AM01,V1,V2,V3,IX_TOT,ESTRATO_HOGAR,IPCF
2376,2376,2,70,2,3,1,3,1,2,1,2,2,2,2800.0
2377,2377,1,61,2,1,2,3,1,2,1,2,2,2,2800.0
2378,2378,2,63,3,3,4,1,2,1,1,2,1,1,5000.0
2379,2379,1,62,2,3,7,1,2,1,1,2,3,3,1400.0
2380,2380,2,74,2,1,2,3,1,1,1,2,3,3,1400.0
2381,2381,2,72,4,1,2,3,2,1,1,2,5,3,3080.0
2382,2382,1,65,2,1,2,3,2,1,1,2,4,3,1175.0
2383,2383,1,63,2,2,4,0,1,1,2,2,3,3,166.6666717529297
2384,2384,2,60,5,1,6,1,1,1,2,2,2,3,3500.0
2386,2386,2,82,4,1,2,3,2,2,1,2,1,1,4000.0
2388,2388,2,60,3,1,6,1,1,1,2,2,1,1,5000.0
2389,2389,2,86,4,3,1,3,1,2,1,2,1,1,2700.0
2391,2391,2,66,2,1,4,3,2,1,1,2,3,3,2400.0
2392,2392,1,70,2,1,6,1,1,1,1,2,3,3,2400.0
2393,2393,1,71,5,1,2,3,1,2,1,2,1,1,1500.0
2394,2394,1,70,2,1,3,3,1,2,1,2,2,2,3400.0
2395,2395,2,68,2,2,2,3,1,2,1,2,2,2,3400.0
2396,2396,2,62,4,1,2,3,1,2,2,2,1,1,1500.0
2397,2397,2,61,2,1,3,1,2,1,2,2,1,1,2800.0
2399,2399,1,61,5,1,2,3,1,1,1,2,6,3,1066.6666259765623
2401,2401,2,83,4,5,2,3,1,1,1,2,4,3,1925.0
2402,2402,2,71,2,2,1,3,1,2,1,2,2,2,1850.0
2403,2403,2,89,5,5,2,3,1,1,1,2,4,3,1925.0
2404,2404,2,61,4,1,3,3,2,1,1,2,2,3,3000.0
2405,2405,1,82,2,1,2,3,1,2,1,2,2,2,1850.0
2406,2406,1,87,5,5,2,3,1,1,1,2,4,3,1925.0
2407,2407,1,62,3,1,3,1,2,1,2,2,8,3,137.5
2409,2409,2,64,2,2,2,1,1,1,1,2,10,3,1747.5
2410,2410,1,63,2,2,3,3,1,1,1,2,10,3,1747.5
2411,2411,2,78,2,1,2,3,1,2,1,2,2,2,1600.0
2412,2412,1,81,2,1,2,3,1,2,1,2,2,2,1600.0
2414,2414,2,64,2,1,3,3,1,1,1,2,3,3,2433.333251953125
2415,2415,2,77,4,1,1,3,2,2,1,2,1,1,0.0
2416,2416,2,75,2,1,1,3,2,2,1,2,2,2,1600.0
2417,2417,1,79,2,3,1,3,2,2,1,2,2,2,1600.0
2419,2419,2,69,3,1,2,3,2,2,1,2,1,1,1600.0
2420,2420,1,61,1,2,2,3,1,1,1,2,6,3,413.3333435058594
2421,2421,2,71,1,1,1,3,1,1,1,2,6,3,413.3333435058594
2422,2422,1,77,2,5,2,3,1,2,1,2,2,2,2480.0
2423,2423,2,72,4,3,4,3,2,1,1,2,6,3,1227.6666259765625
2424,2424,2,71,2,3,2,3,1,2,1,2,2,2,2480.0
2427,2427,1,84,4,1,6,3,2,2,1,2,1,1,1600.0
2428,2428,2,75,2,2,1,3,1,2,1,2,2,2,2000.0
2429,2429,2,83,2,1,1,3,2,2,1,2,2,2,1650.0
2430,2430,1,86,2,1,1,3,1,2,1,2,2,2,1650.0
2432,2432,1,75,4,1,7,3,1,2,1,2,1,1,2400.0
2433,2433,2,72,4,2,2,3,2,2,1,2,1,1,3000.0
2434,2434,2,64,4,3,6,3,1,2,1,2,1,1,4800.0
2436,2436,2,63,3,1,2,3,1,1,1,2,5,3,1896.0
2437,2437,1,60,2,2,6,1,2,1,1,2,3,3,4233.33349609375
2438,2438,2,68,5,2,3,3,1,1,1,2,2,3,4600.0
2439,2439,2,64,1,2,2,3,1,1,1,2,6,3,2775.0
2440,2440,1,77,2,2,4,3,1,2,1,2,2,2,2600.0
2441,2441,2,74,2,1,4,3,2,2,1,2,2,2,2600.0
2442,2442,2,87,4,1,1,3,2,2,1,2,2,2,1600.0
2443,2443,2,89,4,1,1,3,2,2,1,2,2,2,1600.0
2444,2444,2,65,4,1,2,3,1,2,1,2,1,1,1800.0
